part_id,month,year,sday_id,dayofweek,day,wave
1245601,4,2020,2020.04.16,4,16,1
1245701,4,2020,2020.04.16,4,16,1
1245801,4,2020,2020.04.16,4,16,1
1245901,4,2020,2020.04.19,0,19,1
1246001,4,2020,2020.04.17,5,17,1
1246101,4,2020,2020.04.19,0,19,1
1246201,4,2020,2020.04.18,6,18,1
1246301,4,2020,2020.04.17,5,17,1
1246401,4,2020,2020.04.19,0,19,1
1246501,4,2020,2020.04.16,4,16,1
1246601,4,2020,2020.04.17,5,17,1
1246701,4,2020,2020.04.16,4,16,1
1246801,4,2020,2020.04.16,4,16,1
1246901,4,2020,2020.04.19,0,19,1
1247001,4,2020,2020.04.16,4,16,1
1247101,4,2020,2020.04.19,0,19,1
1247201,4,2020,2020.04.16,4,16,1
1247301,4,2020,2020.04.16,4,16,1
1247401,4,2020,2020.04.17,5,17,1
1247501,4,2020,2020.04.19,0,19,1
1247601,4,2020,2020.04.19,0,19,1
1247701,4,2020,2020.04.20,1,20,1
1247801,4,2020,2020.04.19,0,19,1
1247901,4,2020,2020.04.16,4,16,1
1248001,4,2020,2020.04.19,0,19,1
1248101,4,2020,2020.04.20,1,20,1
1248201,4,2020,2020.04.19,0,19,1
1248301,4,2020,2020.04.16,4,16,1
1248401,4,2020,2020.04.16,4,16,1
1248501,4,2020,2020.04.19,0,19,1
1248601,4,2020,2020.04.16,4,16,1
1248701,4,2020,2020.04.19,0,19,1
1248801,4,2020,2020.04.19,0,19,1
1248901,4,2020,2020.04.19,0,19,1
1249001,4,2020,2020.04.19,0,19,1
1249101,4,2020,2020.04.16,4,16,1
1249201,4,2020,2020.04.19,0,19,1
1249301,4,2020,2020.04.19,0,19,1
1249401,4,2020,2020.04.18,6,18,1
1249501,4,2020,2020.04.16,4,16,1
1249601,4,2020,2020.04.16,4,16,1
1249701,4,2020,2020.04.19,0,19,1
1249801,4,2020,2020.04.16,4,16,1
1249901,4,2020,2020.04.19,0,19,1
1250001,4,2020,2020.04.17,5,17,1
1250101,4,2020,2020.04.19,0,19,1
1250201,4,2020,2020.04.16,4,16,1
1250301,4,2020,2020.04.16,4,16,1
1250401,4,2020,2020.04.16,4,16,1
1250501,4,2020,2020.04.19,0,19,1
1250601,4,2020,2020.04.18,6,18,1
1250701,4,2020,2020.04.16,4,16,1
1250801,4,2020,2020.04.19,0,19,1
1250901,4,2020,2020.04.19,0,19,1
1251001,4,2020,2020.04.18,6,18,1
1251101,4,2020,2020.04.18,6,18,1
1251201,4,2020,2020.04.18,6,18,1
1251301,4,2020,2020.04.19,0,19,1
1251401,4,2020,2020.04.16,4,16,1
1251501,4,2020,2020.04.16,4,16,1
1251601,4,2020,2020.04.16,4,16,1
1251701,4,2020,2020.04.19,0,19,1
1251801,4,2020,2020.04.18,6,18,1
1251901,4,2020,2020.04.16,4,16,1
1252001,4,2020,2020.04.19,0,19,1
1252101,4,2020,2020.04.16,4,16,1
1252201,4,2020,2020.04.16,4,16,1
1252301,4,2020,2020.04.16,4,16,1
1252401,4,2020,2020.04.19,0,19,1
1252501,4,2020,2020.04.17,5,17,1
1252601,4,2020,2020.04.19,0,19,1
1252701,4,2020,2020.04.16,4,16,1
1252801,4,2020,2020.04.16,4,16,1
1252901,4,2020,2020.04.16,4,16,1
1253001,4,2020,2020.04.19,0,19,1
1253101,4,2020,2020.04.17,5,17,1
1253201,4,2020,2020.04.17,5,17,1
1253301,4,2020,2020.04.17,5,17,1
1253401,4,2020,2020.04.19,0,19,1
1253501,4,2020,2020.04.19,0,19,1
1253601,4,2020,2020.04.16,4,16,1
1253701,4,2020,2020.04.17,5,17,1
1253801,4,2020,2020.04.16,4,16,1
1253901,4,2020,2020.04.19,0,19,1
1254001,4,2020,2020.04.17,5,17,1
1254101,4,2020,2020.04.19,0,19,1
1254201,4,2020,2020.04.20,1,20,1
1254301,4,2020,2020.04.16,4,16,1
1254401,4,2020,2020.04.19,0,19,1
1254501,4,2020,2020.04.16,4,16,1
1254601,4,2020,2020.04.17,5,17,1
1254701,4,2020,2020.04.16,4,16,1
1254801,4,2020,2020.04.17,5,17,1
1254901,4,2020,2020.04.19,0,19,1
1255001,4,2020,2020.04.19,0,19,1
1255101,4,2020,2020.04.16,4,16,1
1255201,4,2020,2020.04.17,5,17,1
1255301,4,2020,2020.04.19,0,19,1
1255401,4,2020,2020.04.16,4,16,1
1255501,4,2020,2020.04.16,4,16,1
1255601,4,2020,2020.04.19,0,19,1
1255701,4,2020,2020.04.18,6,18,1
1255801,4,2020,2020.04.19,0,19,1
1255901,4,2020,2020.04.18,6,18,1
1256001,4,2020,2020.04.17,5,17,1
1256101,4,2020,2020.04.19,0,19,1
1256201,4,2020,2020.04.19,0,19,1
1256301,4,2020,2020.04.18,6,18,1
1256401,4,2020,2020.04.18,6,18,1
1256501,4,2020,2020.04.16,4,16,1
1256601,4,2020,2020.04.16,4,16,1
1256701,4,2020,2020.04.16,4,16,1
1256801,4,2020,2020.04.16,4,16,1
1256901,4,2020,2020.04.19,0,19,1
1257001,4,2020,2020.04.17,5,17,1
1257101,4,2020,2020.04.16,4,16,1
1257201,4,2020,2020.04.17,5,17,1
1257301,4,2020,2020.04.16,4,16,1
1257401,4,2020,2020.04.17,5,17,1
1257501,4,2020,2020.04.16,4,16,1
1257601,4,2020,2020.04.19,0,19,1
1257701,4,2020,2020.04.16,4,16,1
1257801,4,2020,2020.04.16,4,16,1
1257901,4,2020,2020.04.17,5,17,1
1258001,4,2020,2020.04.16,4,16,1
1258101,4,2020,2020.04.16,4,16,1
1258201,4,2020,2020.04.18,6,18,1
1258301,4,2020,2020.04.16,4,16,1
1258401,4,2020,2020.04.17,5,17,1
1258501,4,2020,2020.04.17,5,17,1
1258601,4,2020,2020.04.19,0,19,1
1258701,4,2020,2020.04.20,1,20,1
1258801,4,2020,2020.04.19,0,19,1
1258901,4,2020,2020.04.19,0,19,1
1259001,4,2020,2020.04.17,5,17,1
1259101,4,2020,2020.04.16,4,16,1
1259201,4,2020,2020.04.16,4,16,1
1259301,4,2020,2020.04.19,0,19,1
1259401,4,2020,2020.04.19,0,19,1
1259501,4,2020,2020.04.19,0,19,1
1259601,4,2020,2020.04.16,4,16,1
1259701,4,2020,2020.04.18,6,18,1
1259801,4,2020,2020.04.19,0,19,1
1259901,4,2020,2020.04.18,6,18,1
1260001,4,2020,2020.04.18,6,18,1
1260101,4,2020,2020.04.16,4,16,1
1260201,4,2020,2020.04.19,0,19,1
1260301,4,2020,2020.04.16,4,16,1
1260401,4,2020,2020.04.16,4,16,1
1260501,4,2020,2020.04.19,0,19,1
1260601,4,2020,2020.04.17,5,17,1
1260701,4,2020,2020.04.19,0,19,1
1260801,4,2020,2020.04.17,5,17,1
1260901,4,2020,2020.04.16,4,16,1
1261001,4,2020,2020.04.20,1,20,1
1261101,4,2020,2020.04.17,5,17,1
1261201,4,2020,2020.04.16,4,16,1
1261301,4,2020,2020.04.18,6,18,1
1261401,4,2020,2020.04.19,0,19,1
1261501,4,2020,2020.04.16,4,16,1
1261601,4,2020,2020.04.19,0,19,1
1261701,4,2020,2020.04.19,0,19,1
1261801,4,2020,2020.04.17,5,17,1
1261901,4,2020,2020.04.17,5,17,1
1262001,4,2020,2020.04.19,0,19,1
1262101,4,2020,2020.04.19,0,19,1
1262201,4,2020,2020.04.19,0,19,1
1262301,4,2020,2020.04.18,6,18,1
1262401,4,2020,2020.04.17,5,17,1
1262501,4,2020,2020.04.16,4,16,1
1262601,4,2020,2020.04.18,6,18,1
1262701,4,2020,2020.04.17,5,17,1
1262801,4,2020,2020.04.17,5,17,1
1262901,4,2020,2020.04.16,4,16,1
1263001,4,2020,2020.04.16,4,16,1
1263101,4,2020,2020.04.18,6,18,1
1263201,4,2020,2020.04.20,1,20,1
1263301,4,2020,2020.04.16,4,16,1
1263401,4,2020,2020.04.16,4,16,1
1263501,4,2020,2020.04.19,0,19,1
